id;name;description;show_order;active
1;Michigan strategize;one-to-one distributed Credit Card Account;38731;true
2;Ergonomic;SMS Locks;33199;true
3;Agent Grenada;Kids Optimization Open-architected;25580;true
4;Auto Loan Account Industrial Web;Liberia Branding gold;60596;false
5;Saint Helena Pound Visionary;Tala Personal Loan Account;19596;false
6;Handmade Rubber Chair;Sports mobile Avon;45158;true
7;plum Connecticut virtual;action-items wireless;63401;true
8;backing up Fresh Rubber;multi-byte Barbados Dollar Belize Dollar;72412;false
9;benchmark Grocery groupware;SDD;57456;true
10;yellow transmitting;intranet Personal Loan Account;89203;false
