id;name;description;show_order;active
1;SSL content reinvent;Salad software;82614;true
2;leverage;definition payment Architect;66546;true
3;Internal;Personal Loan Account connecting support;29719;true
4;North Dakota teal;Chicken Netherlands;94402;false
5;middleware enhance;Paradigm matrices;61469;false
6;Berkshire;Saint Kitts and Nevis Home Loan Account static;76499;true
7;Myanmar Product Shoes;Home Loan Account Designer;29755;false
8;real-time Bedfordshire;software Credit Card Account knowledge user;66484;false
9;Awesome Concrete Salad;Trail paradigm Bedfordshire;68313;true
10;Berkshire RAM;programming definition;95078;false
