id;name;shortcut;description;show_order;active
1;Balboa US Dollar;Soft;cross-platform hack Virginia;31066;false
2;United Kingdom panel PNG;Road e-business Salad;XSS orchid;29850;false
3;Games;monitoring Tasty Soft Shoes;innovative;83820;true
4;driver mission-critical;input;Afghani virtual;51019;false
5;Cove SQL;Cayman Islands Integrated Adaptive;initiatives South Georgia and the South Sandwich Islands Cambridgeshire;68953;false
6;Executive programming Table;Expressway fuchsia niches;Robust Movies;87920;true
7;Customer-focused redundant;quantify;Personal Loan Account Hawaii Specialist;92884;true
8;withdrawal customized engage;Awesome Granite Table bypassing;Garden;22657;true
9;input;synergies Synergized vortals;object-oriented;15072;false
10;national systems payment;Planner;Oklahoma payment Taka;40221;false
