id;name;description;show_order;active
1;Direct;compressing ADP Tennessee;4760;false
2;Granite copying Auto Loan Account;Music gold action-items;25967;false
3;ivory connect end-to-end;Dynamic;55443;true
4;Intelligent Granite Shoes reinvent back-end;Czech Koruna Tuna;45968;false
5;Seychelles Rupee Intelligent Plastic Gloves Refined Plastic Bacon;Buckinghamshire;64778;true
6;Handcrafted Handmade compressing;Mobility;47457;true
7;Aruban Guilder;Operative;474;false
8;transform focus group;Designer;43889;true
9;sticky reboot Toys;Movies Soft;57183;false
10;system Rustic Steel Shirt Creek;programming;24511;true
