id;name;description;all_requirements_selected
1;zero tolerance;Rand Unbranded Metal Gloves;false
2;green;China;false
3;US Dollar;Gibraltar Pound;false
4;mobile Curve Small Plastic Shirt;experiences Mobility Metal;false
5;scale maximized Chief;streamline New Hampshire;true
6;Home Loan Account black Streamlined;framework;false
7;Bedfordshire;Bahamian Dollar Alabama;false
8;ability Games;channels Yen;true
9;Rubber Licensed Wooden Ball;tangible supply-chains;true
10;Soft migration Licensed;Home Loan Account Metal Administrator;false
