id;name;content;anchor
1;Personal Loan Account Engineer;Tasty Soft Chicken;64511
2;Greens Antarctica (the territory South of 60 deg S);Multi-lateral;48503
3;reboot Unbranded Cotton Salad;database withdrawal Yemeni Rial;25964
4;Burundi Tasty incremental;Bedfordshire;61291
5;Shoes driver;Granite paradigms Outdoors;43557
6;sensor Curve;compressing metrics;91976
7;input Health;Buckinghamshire;84898
8;Baby Shirt compressing;niches;37546
9;Refined;Fresh UAE Dirham withdrawal;64850
10;JSON Bacon HTTP;matrices Terrace;26492
